metro_nonmetro,year,county_name,state_abbr,geoId,value
Metropolitan,2022,"Anchorage Municipality",AK,us-ak-020,"Part of county is shortage area"
Metropolitan,2022,"Fairbanks North Star Borough",AK,us-ak-090,"Whole county is shortage area"
Metropolitan,2022,"Matanuska-Susitna Borough",AK,us-ak-170,"Whole county is shortage area"
Metropolitan,2022,"Autauga County",AL,us-al-001,"Part of county is shortage area"
Metropolitan,2022,"Baldwin County",AL,us-al-003,"Part of county is shortage area"
Metropolitan,2022,"Bibb County",AL,us-al-007,"Whole county is shortage area"
Metropolitan,2022,"Blount County",AL,us-al-009,"Whole county is shortage area"
Metropolitan,2022,"Calhoun County",AL,us-al-015,"Part of county is shortage area"
Metropolitan,2022,"Chilton County",AL,us-al-021,"Whole county is shortage area"
Metropolitan,2022,"Colbert County",AL,us-al-033,"Part of county is shortage area"
Metropolitan,2022,"Elmore County",AL,us-al-051,"Part of county is shortage area"
Metropolitan,2022,"Etowah County",AL,us-al-055,"Whole county is shortage area"
Metropolitan,2022,"Geneva County",AL,us-al-061,"Whole county is shortage area"
Metropolitan,2022,"Greene County",AL,us-al-063,"Whole county is shortage area"
Metropolitan,2022,"Hale County",AL,us-al-065,"Whole county is shortage area"
Metropolitan,2022,"Henry County",AL,us-al-067,"Whole county is shortage area"
Metropolitan,2022,"Houston County",AL,us-al-069,"Part of county is shortage area"
Metropolitan,2022,"Jefferson County",AL,us-al-073,"Part of county is shortage area"
Metropolitan,2022,"Lauderdale County",AL,us-al-077,"Part of county is shortage area"
Metropolitan,2022,"Lawrence County",AL,us-al-079,"Whole county is shortage area"
Metropolitan,2022,"Lee County",AL,us-al-081,"Whole county is shortage area"
Metropolitan,2022,"Limestone County",AL,us-al-083,"Part of county is shortage area"
Metropolitan,2022,"Lowndes County",AL,us-al-085,"Part of county is shortage area"
Metropolitan,2022,"Madison County",AL,us-al-089,"Whole county is shortage area"
Metropolitan,2022,"Mobile County",AL,us-al-097,"Part of county is shortage area"
Metropolitan,2022,"Montgomery County",AL,us-al-101,"Part of county is shortage area"
Metropolitan,2022,"Morgan County",AL,us-al-103,"Whole county is shortage area"
Metropolitan,2022,"Pickens County",AL,us-al-107,"Whole county is shortage area"
Metropolitan,2022,"Russell County",AL,us-al-113,"Part of county is shortage area"
Metropolitan,2022,"Shelby County",AL,us-al-117,"Whole county is shortage area"
Metropolitan,2022,"St. Clair County",AL,us-al-115,"Whole county is shortage area"
Metropolitan,2022,"Tuscaloosa County",AL,us-al-125,"Part of county is shortage area"
Metropolitan,2022,"Washington County",AL,us-al-129,"Whole county is shortage area"
