NAME,GEOID,state_name,Share with Medical Debt in Collections,"Share with Medical Debt in Collections, Communities of Color","Share with Medical Debt in Collections, Majority White Communities","% population without health insurance, 2019 (ACS)","% white, non-Hispanic population without health insurance, 2019 (ACS)","% non-white population without health insurance, 2019 (ACS)","Median Medical Debt in Collections, All","Median Medical Debt in Collections, Communities of Color","Median Medical Debt in Collections, Majority White Communities",poc_pct,"Average household income, 2019 (ACS)","Average non-white household income, 2019 (ACS)","Average white, non-Hispanic household income, 2019 (ACS)"
"Aleutians East Borough, Alaska",02013,Alaska,n/a*,n/a*,n/a**,.4630178,.211236,.5011925,n/a*,n/a*,n/a**,.8679468,79535,75681,97812
"Bristol Bay Borough, Alaska",02060,Alaska,n/a*,n/a*,n/a*,.2046512,.1281465,.2836879,n/a*,n/a*,n/a*,.4914286,96032,79036,110244
"Lake and Peninsula Borough, Alaska",02164,Alaska,n/a*,n/a*,n/a*,.3338119,.1541096,.3814714,n/a*,n/a*,n/a*,.7903805,58583,48212,96195
"Petersburg Borough, Alaska",02195,Alaska,n/a*,n/a*,n/a*,.0957807,.0714958,.1418376,n/a*,n/a*,n/a*,.3451028,92572,61559,103776
"Yakutat City and Borough, Alaska",02282,Alaska,n/a*,n/a**,n/a**,.2372881,.1530249,.3016304,n/a*,n/a**,n/a**,.5670262,76895,67697,87253
"Alpine County, California",06003,California,n/a*,n/a**,n/a**,.0885467,.061706,.1188525,n/a*,n/a**,n/a**,.4696824,97724,73313,106429
"Cheyenne County, Colorado",08017,Colorado,n/a*,n/a**,n/a*,.1169945,.0782159,.2545872,n/a*,n/a**,n/a*,.2221125,70046,64134,70954
"Hinsdale County, Colorado",08053,Colorado,n/a*,n/a**,n/a*,.1003501,.0856031,.2325581,n/a*,n/a**,n/a*,.1003501,74731,45630,76622
"Jackson County, Colorado",08057,Colorado,n/a*,n/a**,n/a*,.0613057,.0591085,.0714286,n/a*,n/a**,n/a*,.1784298,64192,49215,66518
"Mineral County, Colorado",08079,Colorado,n/a*,n/a**,n/a*,.0910194,.0758427,.1875,n/a*,n/a**,n/a*,.1359223,74266,78267,74023
"San Juan County, Colorado",08111,Colorado,n/a*,n/a**,n/a*,.0882852,.0516252,.3787879,n/a*,n/a**,n/a*,.1120543,68152,49389,71522
"Kalawao County, Hawaii",15005,Hawaii,n/a*,n/a*,n/a**,0,0,0,n/a*,n/a*,n/a**,.7727273,83246,84386,79940
"Camas County, Idaho",16025,Idaho,n/a*,n/a**,n/a*,.1211832,.1070039,.85,n/a*,n/a**,n/a*,.019084,72695,30327,73911
"Clark County, Idaho",16033,Idaho,n/a*,n/a**,n/a**,.3044907,.0427553,.5284553,n/a*,n/a**,n/a**,.5388828,52716,41827,59975
"Clark County, Kansas",20025,Kansas,n/a*,n/a**,n/a*,.0509424,.0500569,.0585366,n/a*,n/a**,n/a*,.1026653,63616,64789,63496
"Greeley County, Kansas",20071,Kansas,n/a*,n/a**,n/a*,.0554593,.0455607,.0838926,n/a*,n/a**,n/a*,.2548523,65953,50421,69614
"Hodgeman County, Kansas",20083,Kansas,n/a*,n/a**,n/a*,.0856833,.0585697,.2837838,n/a*,n/a**,n/a*,.1188699,72283,48038,74756
"Wallace County, Kansas",20199,Kansas,n/a*,n/a**,n/a*,.0593932,.0465444,.1984733,n/a*,n/a**,n/a*,.0844981,68214,53078,69257
"Wichita County, Kansas",20203,Kansas,n/a*,n/a**,n/a**,.0633333,.0132193,.1425061,n/a*,n/a**,n/a**,.3826291,68597,60510,72258
"Issaquena County, Mississippi",28055,Mississippi,n/a*,n/a*,n/a*,.116651,.0554156,.1531532,n/a*,n/a*,n/a*,.629684,49035,47660,51290
"Carter County, Montana",30011,Montana,n/a*,n/a**,n/a*,.2042846,.2086957,.0714286,n/a*,n/a**,n/a*,.0315552,64512,46500,64657
"Garfield County, Montana",30033,Montana,n/a*,n/a**,n/a*,.1148649,.1157588,0,n/a*,n/a**,n/a*,.007722,65237,35429,65721
"Golden Valley County, Montana",30037,Montana,n/a*,n/a**,n/a*,.1016484,.107362,.0526316,n/a*,n/a**,n/a*,.1043956,62931,87658,62056
"Liberty County, Montana",30051,Montana,n/a*,n/a**,n/a*,.0862661,.0851528,.15,n/a*,n/a**,n/a*,.017014,84727,68056,84897
"Petroleum County, Montana",30069,Montana,n/a*,n/a**,n/a*,.0860927,.0911215,0,n/a*,n/a**,n/a*,.0551876,69975,72056,69684
"Powder River County, Montana",30075,Montana,n/a*,n/a**,n/a*,.0683977,.0476515,.3454545,n/a*,n/a**,n/a*,.0696951,68431,58179,68836
"Prairie County, Montana",30079,Montana,n/a*,n/a**,n/a*,.0397083,.0405629,0,n/a*,n/a**,n/a*,.0223642,64764,n/a**,64764
"Wibaux County, Montana",30109,Montana,n/a*,n/a**,n/a*,.1279492,.1231814,.1971831,n/a*,n/a**,n/a*,.0677362,61871,61400,61895
"Arthur County, Nebraska",31005,Nebraska,n/a*,n/a**,n/a*,.1147541,.1026895,.3888889,n/a*,n/a**,n/a*,.0421546,60130,31700,60870
"Banner County, Nebraska",31007,Nebraska,n/a*,n/a**,n/a*,.0415512,.0214724,.2285714,n/a*,n/a**,n/a*,.0969529,67962,19071,74638
"Blaine County, Nebraska",31009,Nebraska,n/a*,n/a**,n/a*,.0545073,.0545073,n/a**,n/a*,n/a**,n/a*,0,56038,n/a**,56038
"Frontier County, Nebraska",31063,Nebraska,n/a*,n/a**,n/a*,.0961977,.0878165,.3039216,n/a*,n/a**,n/a*,.0390152,66014,34783,66862
"Grant County, Nebraska",31075,Nebraska,n/a*,n/a**,n/a*,.1142061,.1186686,0,n/a*,n/a**,n/a*,.0429363,59757,47325,59932
"Greeley County, Nebraska",31077,Nebraska,n/a*,n/a**,n/a*,.0606961,.0631625,0,n/a*,n/a**,n/a*,.038623,61001,73460,60752
"Hayes County, Nebraska",31085,Nebraska,n/a*,n/a**,n/a*,.0828667,.0818071,.0945946,n/a*,n/a**,n/a*,.0828667,70359,76186,70023
"Hooker County, Nebraska",31091,Nebraska,n/a*,n/a**,n/a*,.0854573,.0752864,.1964286,n/a*,n/a**,n/a*,.0808081,58286,47068,59901
"Keya Paha County, Nebraska",31103,Nebraska,n/a*,n/a**,n/a*,.0644737,.0640854,.0909091,n/a*,n/a**,n/a*,.0144737,71348,27567,71784
"Loup County, Nebraska",31115,Nebraska,n/a*,n/a**,n/a*,.0512397,.0523649,0,n/a*,n/a**,n/a*,.0214876,59443,18391,61038
"McPherson County, Nebraska",31117,Nebraska,n/a*,n/a**,n/a*,.0455696,.0462725,0,n/a*,n/a**,n/a*,.0151899,59324,n/a**,59324
"Rock County, Nebraska",31149,Nebraska,n/a*,n/a**,n/a*,.0902475,.0934439,0,n/a*,n/a**,n/a*,.0346535,80822,15000,81247
"Thomas County, Nebraska",31171,Nebraska,n/a*,n/a**,n/a*,.027907,.0293638,0,n/a*,n/a**,n/a*,.0496124,82762,23400,87133
"Wheeler County, Nebraska",31183,Nebraska,n/a*,n/a**,n/a*,.1136654,.1172596,0,n/a*,n/a**,n/a*,.0306513,62582,21430,63807
"Esmeralda County, Nevada",32009,Nevada,n/a*,n/a**,n/a*,.1194185,.0725389,.3089005,n/a*,n/a**,n/a*,.2012384,50154,37051,52405
"Harding County, New Mexico",35021,New Mexico,n/a*,n/a*,n/a*,.0776256,.0423077,.1292135,n/a*,n/a*,n/a*,.4104308,69065,36974,84325
"Billings County, North Dakota",38007,North Dakota,n/a*,n/a**,n/a*,.0292842,.0301676,0,n/a*,n/a**,n/a*,.0292842,98764,n/a**,98764
"Hettinger County, North Dakota",38041,North Dakota,n/a*,n/a**,n/a*,.0830173,.0867416,.027027,n/a*,n/a**,n/a*,.0903023,79987,58843,80595
"Oliver County, North Dakota",38065,North Dakota,n/a*,n/a**,n/a*,.0707676,.0754375,.0277778,n/a*,n/a**,n/a*,.0977199,88881,27035,90339
"Sheridan County, North Dakota",38083,North Dakota,n/a*,n/a**,n/a*,.058907,.0567121,.25,n/a*,n/a**,n/a*,.0113556,64388,24240,64664
"Slope County, North Dakota",38087,North Dakota,n/a*,n/a**,n/a*,.0067385,.006993,0,n/a*,n/a**,n/a*,.0363881,76096,125400,74374
"Steele County, North Dakota",38091,North Dakota,n/a*,n/a**,n/a*,.0498853,.0511464,0,n/a*,n/a**,n/a*,.024656,86840,90019,86730
"Wheeler County, Oregon",41069,Oregon,n/a*,n/a**,n/a*,.0522968,.0307692,.2,n/a*,n/a**,n/a*,.1272085,48248,63407,46822
"Buffalo County, South Dakota",46017,South Dakota,n/a*,n/a*,n/a*,.3928924,.0144404,.4528302,n/a*,n/a*,n/a*,.8632774,41952,38267,56341
"Harding County, South Dakota",46063,South Dakota,n/a*,n/a**,n/a*,.0652681,.0661642,.0537634,n/a*,n/a**,n/a*,.0788668,77628,n/a**,77628
"Hyde County, South Dakota",46069,South Dakota,n/a*,n/a*,n/a*,.04375,.0285459,.1509434,n/a*,n/a*,n/a*,.1205459,73326,59048,75131
"Jerauld County, South Dakota",46073,South Dakota,n/a*,n/a**,n/a*,.0734177,.0642742,.2314815,n/a*,n/a**,n/a*,.055005,92714,49997,94302
"Jones County, South Dakota",46075,South Dakota,n/a*,n/a**,n/a*,.1500631,.1397558,.2857143,n/a*,n/a**,n/a*,.0706179,55466,24660,56642
"Mellette County, South Dakota",46095,South Dakota,n/a*,n/a*,n/a**,.3427861,.2589744,.395935,n/a*,n/a*,n/a**,.6145224,42062,21653,60530
"Sully County, South Dakota",46119,South Dakota,n/a*,n/a**,n/a*,.051341,.0534717,0,n/a*,n/a**,n/a*,.0398467,91160,43375,92189
"Ziebach County, South Dakota",46137,South Dakota,n/a*,n/a*,n/a**,.2748119,.1445967,.3149016,n/a*,n/a*,n/a**,.7646005,52721,42990,73559
"Borden County, Texas",48033,Texas,n/a*,n/a**,n/a*,.0554649,.0505837,.0808081,n/a*,n/a**,n/a*,.1615008,88236,83815,88504
"Cottle County, Texas",48101,Texas,n/a*,n/a**,n/a**,.1187576,.0964706,.1426768,n/a*,n/a**,n/a**,.4823386,45301,26887,62361
"Dickens County, Texas",48125,Texas,n/a*,n/a**,n/a*,.1858238,.1448371,.2775194,n/a*,n/a**,n/a*,.3300045,59602,33567,69164
"Glasscock County, Texas",48173,Texas,n/a*,n/a**,n/a**,.2046358,.0141343,.4493192,n/a*,n/a**,n/a**,.4377483,105467,43483,137392
"Irion County, Texas",48235,Texas,n/a*,n/a**,n/a*,.1471322,.1523297,.1352459,n/a*,n/a**,n/a*,.3012346,66890,53356,70386
"Kenedy County, Texas",48261,Texas,n/a*,n/a*,n/a**,.2588028,0,.2732342,n/a*,n/a*,n/a**,.9471831,39930,39750,41296
"Kent County, Texas",48263,Texas,n/a*,n/a**,n/a*,.0482529,.0571992,0,n/a*,n/a**,n/a*,.1622875,73663,35926,81311
"King County, Texas",48269,Texas,n/a*,n/a**,n/a*,.0421941,.0440252,.0384615,n/a*,n/a**,n/a*,.3291139,66635,32838,75500
"Loving County, Texas",48301,Texas,n/a*,n/a**,n/a*,.122449,.1445783,0,n/a*,n/a**,n/a*,.1530612,105773,17480,123432
"McMullen County, Texas",48311,Texas,n/a*,n/a**,n/a**,.1782946,.0289474,.322335,n/a*,n/a**,n/a**,.5090439,92126,47192,124466
"Martin County, Texas",48317,Texas,n/a*,n/a**,n/a*,.1092437,.074454,.1501361,n/a*,n/a**,n/a*,.4606125,91265,66619,104886
