FIPS,State,County,Rural-Urban Continuum Code 2013
01001,AL,AL: Autauga County (01001),2
01003,AL,AL: Baldwin County (01003),3
01005,AL,AL: Barbour County (01005),6
01007,AL,AL: Bibb County (01007),1
01009,AL,AL: Blount County (01009),1
01011,AL,AL: Bullock County (01011),6
01013,AL,AL: Butler County (01013),6
01015,AL,AL: Calhoun County (01015),3
01017,AL,AL: Chambers County (01017),6
01019,AL,AL: Cherokee County (01019),6
01021,AL,AL: Chilton County (01021),1
01023,AL,AL: Choctaw County (01023),9
01025,AL,AL: Clarke County (01025),7
01027,AL,AL: Clay County (01027),9
01029,AL,AL: Cleburne County (01029),8
01031,AL,AL: Coffee County (01031),4
01033,AL,AL: Colbert County (01033),3
01035,AL,AL: Conecuh County (01035),7
01037,AL,AL: Coosa County (01037),8
01039,AL,AL: Covington County (01039),6
01041,AL,AL: Crenshaw County (01041),8
01043,AL,AL: Cullman County (01043),4
01045,AL,AL: Dale County (01045),4
01047,AL,AL: Dallas County (01047),4
01049,AL,AL: DeKalb County (01049),6
01051,AL,AL: Elmore County (01051),2
01053,AL,AL: Escambia County (01053),6
01055,AL,AL: Etowah County (01055),3
01057,AL,AL: Fayette County (01057),6
01059,AL,AL: Franklin County (01059),6
01061,AL,AL: Geneva County (01061),3
01063,AL,AL: Greene County (01063),8
01065,AL,AL: Hale County (01065),3
01067,AL,AL: Henry County (01067),3
01069,AL,AL: Houston County (01069),3
01071,AL,AL: Jackson County (01071),6
01073,AL,AL: Jefferson County (01073),1
01075,AL,AL: Lamar County (01075),8
01077,AL,AL: Lauderdale County (01077),3
01079,AL,AL: Lawrence County (01079),3
01081,AL,AL: Lee County (01081),3
01083,AL,AL: Limestone County (01083),2
01085,AL,AL: Lowndes County (01085),2
01087,AL,AL: Macon County (01087),6
01089,AL,AL: Madison County (01089),2
01091,AL,AL: Marengo County (01091),7
01093,AL,AL: Marion County (01093),7
01095,AL,AL: Marshall County (01095),4
01097,AL,AL: Mobile County (01097),2
01099,AL,AL: Monroe County (01099),7
01101,AL,AL: Montgomery County (01101),2
01103,AL,AL: Morgan County (01103),3
01105,AL,AL: Perry County (01105),8
01107,AL,AL: Pickens County (01107),3
01109,AL,AL: Pike County (01109),6
01111,AL,AL: Randolph County (01111),6
01113,AL,AL: Russell County (01113),2
01115,AL,AL: St. Clair County (01115),1
01117,AL,AL: Shelby County (01117),1
01119,AL,AL: Sumter County (01119),8
01121,AL,AL: Talladega County (01121),4
01123,AL,AL: Tallapoosa County (01123),6
01125,AL,AL: Tuscaloosa County (01125),3
01127,AL,AL: Walker County (01127),1
01129,AL,AL: Washington County (01129),8
01131,AL,AL: Wilcox County (01131),9
01133,AL,AL: Winston County (01133),6
01999,AL,AL: Unknown (01999),99
02010,AK,AK: Aleutian Islands Census Area (02010) - 1990-1993,9
02013,AK,AK: Aleutians East Borough (02013) - 1994+,9
02016,AK,AK: Aleutians West Census Area (02016) - 1994+,9
02020,AK,AK: Anchorage Municipality (02020) - 1990+,2
02050,AK,AK: Bethel Census Area (02050) - 1990+,7
02060,AK,AK: Bristol Bay Borough (02060) - 1990+,9
02068,AK,AK: Denali Borough (02068) - 1990+,8
02070,AK,AK: Dillingham Census Area (02070) - 1994+,9
02090,AK,AK: Fairbanks North Star Borough (02090) - 1990+,3
02100,AK,AK: Haines Borough (02100) - 1990+,9
02105,AK,AK: Hoonah-Angoon Census Area (02105) - 2011+,9
02110,AK,AK: Juneau City and Borough (02110) - 1990+,5
02122,AK,AK: Kenai Peninsula Borough (02122) - 1990+,7
02130,AK,AK: Ketchikan Gateway Borough (02130) - 1990+,7
02150,AK,AK: Kodiak Island Borough (02150) - 1990+,7
02164,AK,AK: Lake and Peninsula Borough (02164) - 1994+,9
02170,AK,AK: Matanuska-Susitna Borough (02170) - 1990+,2
02180,AK,AK: Nome Census Area (02180) - 1990+,7
02185,AK,AK: North Slope Borough (02185) - 1990+,7
02188,AK,AK: Northwest Arctic Borough (02188) - 1990+,7
02195,AK,AK: Petersburg Census Area (02195) - 2011+,9
02198,AK,AK: Prince of Wales Hyder Census Area (02198) - 2011+,9
02201,AK,AK: Prince of Wales-Outer Ketchikan CA (02201) - 1990-2010,9
02220,AK,AK: Sitka City and Borough (02220) - 1990+,7
02230,AK,AK: Skagway Municipality (02230) - 2011+,9
02231,AK,AK: Skagway-Yakutat-Angoon Census Ar (02231) - 1990-1993,9
02232,AK,AK: Skagway-Hoonah-Angoon Census Area (02232) -1994-2010,9
02240,AK,AK: Southeast Fairbanks Census Area (02240) - 1990+,9
02261,AK,AK: Valdez-Cordova Census Area (02261) - 1990+,9
02270,AK,AK: Wade Hampton Census Area (02270) - 1990+,9
02275,AK,AK: Wrangell Borough (02275) - 2011+,9
02280,AK,AK: Wrangell-Petersburg Census Area (02280) - 1990-2010,7
02282,AK,AK: Yakutat City and Borough (02282) - 1994+,9
02290,AK,AK: Yukon-Koyukuk Census Area (02290) - 1990+,9
